season,match_id,match_no,date,player,team,opposition,innings,runs,balls,not_out,strike_rate,4s,6s,result
2008,335983,1,2008-04-19,JDP Oram,Chennai Super Kings,Punjab Kings,1,13,10,No,130.0,0,1,Won
2008,335983,1,2008-04-19,MEK Hussey,Chennai Super Kings,Punjab Kings,1,116,54,Yes,214.81,8,9,Won
2008,335983,1,2008-04-19,ML Hayden,Chennai Super Kings,Punjab Kings,1,25,17,No,147.06,4,1,Won
2008,335983,1,2008-04-19,MS Dhoni,Chennai Super Kings,Punjab Kings,1,2,3,No,66.67,0,0,Won
2008,335983,1,2008-04-19,PA Patel,Chennai Super Kings,Punjab Kings,1,15,10,No,150.0,3,0,Won
2008,335983,1,2008-04-19,S Badrinath,Chennai Super Kings,Punjab Kings,1,31,14,Yes,221.43,3,2,Won
2008,335983,1,2008-04-19,SK Raina,Chennai Super Kings,Punjab Kings,1,32,13,No,246.15,2,3,Won
2008,335989,2,2008-04-23,JDP Oram,Chennai Super Kings,Mumbai Indians,1,5,2,Yes,250.0,1,0,Won
2008,335989,2,2008-04-23,MEK Hussey,Chennai Super Kings,Mumbai Indians,1,5,9,No,55.56,1,0,Won
2008,335989,2,2008-04-23,ML Hayden,Chennai Super Kings,Mumbai Indians,1,81,46,No,176.09,12,2,Won
2008,335989,2,2008-04-23,MS Dhoni,Chennai Super Kings,Mumbai Indians,1,30,16,No,187.5,4,1,Won
2008,335989,2,2008-04-23,PA Patel,Chennai Super Kings,Mumbai Indians,1,14,11,No,127.27,3,0,Won
2008,335989,2,2008-04-23,S Badrinath,Chennai Super Kings,Mumbai Indians,1,2,1,Yes,200.0,0,0,Won
2008,335989,2,2008-04-23,SK Raina,Chennai Super Kings,Mumbai Indians,1,53,37,No,143.24,3,3,Won
2008,335993,3,2008-04-26,ML Hayden,Chennai Super Kings,Kolkata Knight Riders,2,70,49,Yes,142.86,6,3,Won
2008,335993,3,2008-04-26,MS Dhoni,Chennai Super Kings,Kolkata Knight Riders,2,43,27,Yes,159.26,3,2,Won
2008,335993,3,2008-04-26,PA Patel,Chennai Super Kings,Kolkata Knight Riders,2,21,27,No,77.78,3,0,Won
2008,335996,4,2008-04-28,MEK Hussey,Chennai Super Kings,Royal Challengers Bengaluru,1,47,37,No,127.03,3,2,Won
2008,335996,4,2008-04-28,ML Hayden,Chennai Super Kings,Royal Challengers Bengaluru,1,13,19,No,68.42,2,0,Won
2008,335996,4,2008-04-28,MS Dhoni,Chennai Super Kings,Royal Challengers Bengaluru,1,65,30,No,216.67,9,3,Won
2008,335996,4,2008-04-28,PA Patel,Chennai Super Kings,Royal Challengers Bengaluru,1,21,17,No,123.53,2,1,Won
2008,335996,4,2008-04-28,SK Raina,Chennai Super Kings,Royal Challengers Bengaluru,1,28,17,No,164.71,1,2,Won
2008,336001,5,2008-05-02,JA Morkel,Chennai Super Kings,Delhi Capitals,1,28,16,No,175.0,3,2,Lost
2008,336001,5,2008-05-02,MS Dhoni,Chennai Super Kings,Delhi Capitals,1,32,27,No,118.52,2,1,Lost
2008,336001,5,2008-05-02,PA Patel,Chennai Super Kings,Delhi Capitals,1,21,20,No,105.0,3,0,Lost
2008,336001,5,2008-05-02,S Badrinath,Chennai Super Kings,Delhi Capitals,1,11,5,Yes,220.0,0,1,Lost
2008,336001,5,2008-05-02,S Vidyut,Chennai Super Kings,Delhi Capitals,1,54,37,No,145.95,7,1,Lost
2008,336001,5,2008-05-02,SK Raina,Chennai Super Kings,Delhi Capitals,1,3,4,No,75.0,0,0,Lost
2008,336001,5,2008-05-02,SP Fleming,Chennai Super Kings,Delhi Capitals,1,13,13,No,100.0,2,0,Lost
2008,336005,6,2008-05-04,JA Morkel,Chennai Super Kings,Rajasthan Royals,1,42,33,No,127.27,4,1,Lost
2008,336005,6,2008-05-04,Joginder Sharma,Chennai Super Kings,Rajasthan Royals,1,0,1,No,0.0,0,0,Lost
2008,336005,6,2008-05-04,M Muralitharan,Chennai Super Kings,Rajasthan Royals,1,0,3,No,0.0,0,0,Lost
2008,336005,6,2008-05-04,M Ntini,Chennai Super Kings,Rajasthan Royals,1,11,12,No,91.67,2,0,Lost
2008,336005,6,2008-05-04,MS Dhoni,Chennai Super Kings,Rajasthan Royals,1,1,7,No,14.29,0,0,Lost
2008,336005,6,2008-05-04,MS Gony,Chennai Super Kings,Rajasthan Royals,1,1,4,Yes,25.0,0,0,Lost
2008,336005,6,2008-05-04,PA Patel,Chennai Super Kings,Rajasthan Royals,1,0,1,No,0.0,0,0,Lost
2008,336005,6,2008-05-04,S Badrinath,Chennai Super Kings,Rajasthan Royals,1,15,14,No,107.14,3,0,Lost
2008,336005,6,2008-05-04,S Vidyut,Chennai Super Kings,Rajasthan Royals,1,5,10,No,50.0,1,0,Lost
2008,336005,6,2008-05-04,SK Raina,Chennai Super Kings,Rajasthan Royals,1,27,27,No,100.0,2,0,Lost
2008,336005,6,2008-05-04,SP Fleming,Chennai Super Kings,Rajasthan Royals,1,0,2,No,0.0,0,0,Lost
2008,336007,7,2008-05-06,JA Morkel,Chennai Super Kings,Deccan Chargers,1,29,19,Yes,152.63,1,2,Lost
2008,336007,7,2008-05-06,Joginder Sharma,Chennai Super Kings,Deccan Chargers,1,16,10,No,160.0,1,1,Lost
2008,336007,7,2008-05-06,MS Dhoni,Chennai Super Kings,Deccan Chargers,1,23,31,No,74.19,2,0,Lost
2008,336007,7,2008-05-06,MS Gony,Chennai Super Kings,Deccan Chargers,1,15,6,Yes,250.0,0,2,Lost
2008,336007,7,2008-05-06,PA Patel,Chennai Super Kings,Deccan Chargers,1,4,6,No,66.67,1,0,Lost
2008,336007,7,2008-05-06,S Anirudha,Chennai Super Kings,Deccan Chargers,1,1,7,No,14.29,0,0,Lost
2008,336007,7,2008-05-06,S Badrinath,Chennai Super Kings,Deccan Chargers,1,0,4,No,0.0,0,0,Lost
2008,336007,7,2008-05-06,SK Raina,Chennai Super Kings,Deccan Chargers,1,32,21,No,152.38,5,0,Lost
2008,336007,7,2008-05-06,SP Fleming,Chennai Super Kings,Deccan Chargers,1,14,16,No,87.5,2,0,Lost
2008,336009,8,2008-05-08,CK Kapugedera,Chennai Super Kings,Delhi Capitals,2,8,9,No,88.89,0,0,Won
2008,336009,8,2008-05-08,JA Morkel,Chennai Super Kings,Delhi Capitals,2,30,15,No,200.0,2,3,Won
2008,336009,8,2008-05-08,MS Dhoni,Chennai Super Kings,Delhi Capitals,2,33,33,No,100.0,3,0,Won
2008,336009,8,2008-05-08,MS Gony,Chennai Super Kings,Delhi Capitals,2,13,5,Yes,260.0,1,1,Won
2008,336009,8,2008-05-08,S Badrinath,Chennai Super Kings,Delhi Capitals,2,8,5,Yes,160.0,1,0,Won
2008,336009,8,2008-05-08,S Vidyut,Chennai Super Kings,Delhi Capitals,2,40,23,No,173.91,6,1,Won
2008,336009,8,2008-05-08,SK Raina,Chennai Super Kings,Delhi Capitals,2,1,2,No,50.0,0,0,Won
2008,336009,8,2008-05-08,SP Fleming,Chennai Super Kings,Delhi Capitals,2,44,28,No,157.14,7,0,Won
2008,336013,9,2008-05-10,JA Morkel,Chennai Super Kings,Punjab Kings,1,7,6,Yes,116.67,0,0,Won
2008,336013,9,2008-05-10,MS Dhoni,Chennai Super Kings,Punjab Kings,1,60,43,Yes,139.53,2,4,Won
2008,336013,9,2008-05-10,S Badrinath,Chennai Super Kings,Punjab Kings,1,64,47,No,136.17,6,3,Won
2008,336013,9,2008-05-10,S Vidyut,Chennai Super Kings,Punjab Kings,1,8,4,No,200.0,2,0,Won
2008,336013,9,2008-05-10,SK Raina,Chennai Super Kings,Punjab Kings,1,26,17,No,152.94,4,0,Won
