Year,Player,Team,Role,Innings,Outs,Runs,Balls,Average,Strike Rate,50s,100s,4s,6s
2008,A Chopra,Kolkata Knight Riders,Top Order,5,5.0,42,52,8.4,80.77,0,0,5,0
2008,A Kumble,Royal Challengers Bengaluru,Lower Order,4,2.0,13,17,6.5,76.47,0,0,1,0
2008,A Mishra,Delhi Capitals,Lower Order,3,3.0,37,42,12.33,88.1,0,0,3,0
2008,A Mukund,Chennai Super Kings,Lower Order,1,1.0,0,1,0.0,0.0,0,0,0,0
2008,A Nehra,Mumbai Indians,Lower Order,3,1.0,3,13,3.0,23.08,0,0,0,0
2008,A Symonds,Deccan Chargers,Middle Order,3,2.0,161,105,80.5,153.33,0,1,15,9
2008,AA Noffke,Royal Challengers Bengaluru,Lower Order,1,1.0,9,10,9.0,90.0,0,0,1,0
2008,AB Agarkar,Kolkata Knight Riders,Lower Order,6,5.0,54,46,10.8,117.39,0,0,5,2
2008,AB Dinda,Kolkata Knight Riders,Lower Order,2,1.0,2,4,2.0,50.0,0,0,0,0
2008,AB de Villiers,Delhi Capitals,Middle Order,6,5.0,95,98,19.0,96.94,0,0,5,1
2008,AC Gilchrist,Deccan Chargers,Top Order,14,13.0,436,318,33.54,137.11,3,1,51,19
2008,AD Mascarenhas,Rajasthan Royals,Middle Order,1,1.0,9,8,9.0,112.5,0,0,0,1
2008,AM Nayar,Mumbai Indians,Middle Order,10,8.0,206,138,25.75,149.28,0,0,16,9
2008,AM Rahane,Mumbai Indians,Top Order,2,2.0,4,17,2.0,23.53,0,0,1,0
2008,AS Yadav,Deccan Chargers,Lower Order,6,5.0,49,39,9.8,125.64,0,0,5,2
2008,Abdur Razzak,Royal Challengers Bengaluru,Lower Order,1,0.0,0,2,,0.0,0,0,0,0
2008,B Akhil,Royal Challengers Bengaluru,Lower Order,7,3.0,46,31,15.33,148.39,0,0,4,3
2008,B Chipli,Royal Challengers Bengaluru,Top Order,3,3.0,20,28,6.67,71.43,0,0,3,0
2008,B Lee,Punjab Kings,Lower Order,3,1.0,17,13,17.0,130.77,0,0,2,1
2008,BB McCullum,Kolkata Knight Riders,Top Order,4,3.0,188,92,62.67,204.35,0,1,13,15
2008,BJ Hodge,Kolkata Knight Riders,Middle Order,3,3.0,12,17,4.0,70.59,0,0,2,0
2008,CK Kapugedera,Chennai Super Kings,Middle Order,3,3.0,16,23,5.33,69.57,0,0,0,0
2008,CL White,Royal Challengers Bengaluru,Middle Order,8,7.0,114,102,16.29,111.76,0,0,8,4
2008,CRD Fernando,Mumbai Indians,Lower Order,1,0.0,2,1,,200.0,0,0,0,0
2008,D Kalyankrishna,Deccan Chargers,Lower Order,1,1.0,3,8,3.0,37.5,0,0,0,0
2008,D Salunkhe,Rajasthan Royals,Lower Order,3,2.0,33,24,16.5,137.5,0,0,5,0
2008,DB Das,Kolkata Knight Riders,Middle Order,6,6.0,103,94,17.17,109.57,0,0,9,5
2008,DB Ravi Teja,Deccan Chargers,Middle Order,6,6.0,109,82,18.17,132.93,0,0,10,5
2008,DJ Bravo,Mumbai Indians,Middle Order,7,6.0,178,134,29.67,132.84,1,0,19,5
2008,DJ Hussey,Kolkata Knight Riders,Middle Order,13,11.0,319,259,29.0,123.17,2,0,19,17
2008,DJ Thornely,Mumbai Indians,Middle Order,4,3.0,39,53,13.0,73.58,0,0,2,2
2008,DNT Zoysa,Deccan Chargers,Lower Order,2,1.0,11,9,11.0,122.22,0,0,1,0
2008,DP Vijaykumar,Deccan Chargers,Lower Order,1,0.0,1,1,,100.0,0,0,0,0
2008,DPMD Jayawardene,Punjab Kings,Middle Order,12,7.0,179,131,25.57,136.64,0,0,15,7
2008,DR Smith,Mumbai Indians,Middle Order,3,3.0,45,40,15.0,112.5,0,0,5,1
2008,DS Kulkarni,Mumbai Indians,Lower Order,1,0.0,2,16,,12.5,0,0,0,0
2008,DS Lehmann,Rajasthan Royals,Middle Order,2,2.0,18,18,9.0,100.0,0,0,3,0
2008,DT Patil,Royal Challengers Bengaluru,Lower Order,2,2.0,13,13,6.5,100.0,0,0,1,0
2008,DW Steyn,Royal Challengers Bengaluru,Lower Order,2,1.0,2,5,2.0,40.0,0,0,0,0
2008,G Gambhir,Delhi Capitals,Top Order,14,13.0,534,379,41.08,140.9,5,0,68,8
2008,GC Smith,Rajasthan Royals,Top Order,11,9.0,441,362,49.0,121.82,3,0,54,8
