Year,Player,Team,Match Number,Opposition,Date,Balls,Overs,Runs Given,Wickets,Economy Rate,Average,Strike Rate,Dots,4s,6s,Boundaries Conceded,Wides,No Balls,Extras Given,Result
2008,JDP Oram,Chennai Super Kings,1,Punjab Kings,2008-04-19,24,4.0,37,0,9.25,,,6,6,0,6,0,0,0,Won
2008,Joginder Sharma,Chennai Super Kings,1,Punjab Kings,2008-04-19,24,4.0,47,1,11.75,47.0,24.0,5,4,3,7,1,0,1,Won
2008,M Muralitharan,Chennai Super Kings,1,Punjab Kings,2008-04-19,24,4.0,33,1,8.25,33.0,24.0,5,1,2,3,2,0,2,Won
2008,MS Gony,Chennai Super Kings,1,Punjab Kings,2008-04-19,24,4.0,42,1,10.5,42.0,24.0,6,2,3,5,2,0,2,Won
2008,P Amarnath,Chennai Super Kings,1,Punjab Kings,2008-04-19,24,4.0,42,1,10.5,42.0,24.0,1,5,1,6,0,0,0,Won
2008,JDP Oram,Chennai Super Kings,2,Mumbai Indians,2008-04-23,24,4.0,53,0,13.25,,,7,6,3,9,2,0,2,Won
2008,Joginder Sharma,Chennai Super Kings,2,Mumbai Indians,2008-04-23,24,4.0,29,2,7.25,14.5,12.0,8,3,0,3,0,2,2,Won
2008,M Muralitharan,Chennai Super Kings,2,Mumbai Indians,2008-04-23,24,4.0,40,2,10.0,20.0,12.0,5,2,2,4,4,0,4,Won
2008,MS Gony,Chennai Super Kings,2,Mumbai Indians,2008-04-23,24,4.0,18,1,4.5,18.0,24.0,12,2,0,2,0,2,2,Won
2008,P Amarnath,Chennai Super Kings,2,Mumbai Indians,2008-04-23,24,4.0,57,1,14.25,57.0,24.0,6,6,3,9,0,0,0,Won
2008,JDP Oram,Chennai Super Kings,3,Kolkata Knight Riders,2008-04-26,24,4.0,32,3,8.0,10.67,8.0,9,3,1,4,0,0,0,Won
2008,Joginder Sharma,Chennai Super Kings,3,Kolkata Knight Riders,2008-04-26,24,4.0,32,1,8.0,32.0,24.0,7,2,1,3,1,1,2,Won
2008,M Muralitharan,Chennai Super Kings,3,Kolkata Knight Riders,2008-04-26,24,4.0,12,0,3.0,,,14,0,0,0,3,0,3,Won
2008,MS Gony,Chennai Super Kings,3,Kolkata Knight Riders,2008-04-26,24,4.0,40,2,10.0,20.0,12.0,9,4,2,6,0,1,1,Won
2008,P Amarnath,Chennai Super Kings,3,Kolkata Knight Riders,2008-04-26,24,4.0,29,2,7.25,14.5,12.0,10,5,0,5,0,0,0,Won
2008,JA Morkel,Chennai Super Kings,4,Royal Challengers Bengaluru,2008-04-28,24,4.0,38,1,9.5,38.0,24.0,6,2,2,4,3,0,3,Won
2008,JDP Oram,Chennai Super Kings,4,Royal Challengers Bengaluru,2008-04-28,24,4.0,27,0,6.75,,,10,2,1,3,2,0,2,Won
2008,Joginder Sharma,Chennai Super Kings,4,Royal Challengers Bengaluru,2008-04-28,22,3.4,27,2,7.36,13.5,11.0,4,1,1,2,1,0,1,Won
2008,MS Gony,Chennai Super Kings,4,Royal Challengers Bengaluru,2008-04-28,24,4.0,34,3,8.5,11.33,8.0,10,4,1,5,0,0,0,Won
2008,P Amarnath,Chennai Super Kings,4,Royal Challengers Bengaluru,2008-04-28,24,4.0,38,2,9.5,19.0,12.0,5,5,0,5,0,0,0,Won
2008,JA Morkel,Chennai Super Kings,5,Delhi Capitals,2008-05-02,24,4.0,40,0,10.0,,,6,6,0,6,1,0,1,Lost
2008,Joginder Sharma,Chennai Super Kings,5,Delhi Capitals,2008-05-02,18,3.0,35,1,11.67,35.0,18.0,4,2,2,4,0,7,7,Lost
2008,M Muralitharan,Chennai Super Kings,5,Delhi Capitals,2008-05-02,24,4.0,27,0,6.75,,,9,2,0,2,0,2,2,Lost
2008,M Ntini,Chennai Super Kings,5,Delhi Capitals,2008-05-02,24,4.0,29,0,7.25,,,9,3,1,4,0,0,0,Lost
2008,MS Gony,Chennai Super Kings,5,Delhi Capitals,2008-05-02,24,4.0,39,1,9.75,39.0,24.0,8,3,2,5,1,0,1,Lost
2008,JA Morkel,Chennai Super Kings,6,Rajasthan Royals,2008-05-04,6,1.0,10,0,10.0,,,3,0,0,0,7,1,8,Lost
2008,M Muralitharan,Chennai Super Kings,6,Rajasthan Royals,2008-05-04,24,4.0,20,1,5.0,20.0,24.0,13,0,0,0,6,0,6,Lost
2008,M Ntini,Chennai Super Kings,6,Rajasthan Royals,2008-05-04,18,3.0,17,0,5.67,,,9,3,0,3,0,0,0,Lost
2008,MS Gony,Chennai Super Kings,6,Rajasthan Royals,2008-05-04,18,3.0,25,0,8.33,,,7,5,0,5,0,0,0,Lost
2008,S Vidyut,Chennai Super Kings,6,Rajasthan Royals,2008-05-04,12,2.0,22,1,11.0,22.0,12.0,5,1,2,3,1,0,1,Lost
2008,SK Raina,Chennai Super Kings,6,Rajasthan Royals,2008-05-04,8,1.2,10,0,7.5,,,2,1,0,1,0,0,0,Lost
2008,JA Morkel,Chennai Super Kings,7,Deccan Chargers,2008-05-06,24,4.0,26,1,6.5,26.0,24.0,13,3,1,4,1,0,1,Lost
2008,Joginder Sharma,Chennai Super Kings,7,Deccan Chargers,2008-05-06,18,3.0,45,0,15.0,,,7,5,3,8,0,7,7,Lost
2008,M Muralitharan,Chennai Super Kings,7,Deccan Chargers,2008-05-06,24,4.0,24,1,6.0,24.0,24.0,11,3,0,3,1,0,1,Lost
2008,M Ntini,Chennai Super Kings,7,Deccan Chargers,2008-05-06,24,4.0,37,0,9.25,,,10,2,3,5,0,0,0,Lost
2008,MS Gony,Chennai Super Kings,7,Deccan Chargers,2008-05-06,18,3.0,15,1,5.0,15.0,18.0,9,2,0,2,0,0,0,Lost
2008,CK Kapugedera,Chennai Super Kings,8,Delhi Capitals,2008-05-08,6,1.0,15,0,15.0,,,0,3,0,3,0,0,0,Won
2008,JA Morkel,Chennai Super Kings,8,Delhi Capitals,2008-05-08,24,4.0,35,2,8.75,17.5,12.0,7,5,0,5,0,2,2,Won
2008,L Balaji,Chennai Super Kings,8,Delhi Capitals,2008-05-08,24,4.0,35,2,8.75,17.5,12.0,5,4,1,5,0,0,0,Won
2008,M Muralitharan,Chennai Super Kings,8,Delhi Capitals,2008-05-08,24,4.0,25,0,6.25,,,6,2,0,2,3,0,3,Won
2008,MS Gony,Chennai Super Kings,8,Delhi Capitals,2008-05-08,24,4.0,36,1,9.0,36.0,24.0,5,3,1,4,1,0,1,Won
2008,P Amarnath,Chennai Super Kings,8,Delhi Capitals,2008-05-08,18,3.0,35,0,11.67,,,3,5,1,6,0,0,0,Won
2008,CK Kapugedera,Chennai Super Kings,9,Punjab Kings,2008-05-10,6,1.0,8,0,8.0,,,0,0,0,0,0,0,0,Won
2008,JA Morkel,Chennai Super Kings,9,Punjab Kings,2008-05-10,24,4.0,25,1,6.25,25.0,24.0,10,1,1,2,0,0,0,Won
2008,L Balaji,Chennai Super Kings,9,Punjab Kings,2008-05-10,24,4.0,24,5,6.0,4.8,4.8,12,0,2,2,1,0,1,Won
2008,M Muralitharan,Chennai Super Kings,9,Punjab Kings,2008-05-10,24,4.0,32,1,8.0,32.0,24.0,9,1,2,3,1,0,1,Won
2008,MS Gony,Chennai Super Kings,9,Punjab Kings,2008-05-10,24,4.0,38,1,9.5,38.0,24.0,11,3,3,6,0,0,0,Won
2008,P Amarnath,Chennai Super Kings,9,Punjab Kings,2008-05-10,18,3.0,35,1,11.67,35.0,18.0,4,3,2,5,0,0,0,Won
2008,CK Kapugedera,Chennai Super Kings,10,Mumbai Indians,2008-05-14,5,0.5,26,0,31.2,,,0,2,3,5,0,0,0,Lost
2008,JA Morkel,Chennai Super Kings,10,Mumbai Indians,2008-05-14,18,3.0,44,0,14.67,,,7,3,5,8,2,0,2,Lost
2008,Joginder Sharma,Chennai Super Kings,10,Mumbai Indians,2008-05-14,18,3.0,24,1,8.0,24.0,18.0,8,2,1,3,3,0,3,Lost
2008,L Balaji,Chennai Super Kings,10,Mumbai Indians,2008-05-14,12,2.0,9,0,4.5,,,9,1,0,1,3,0,3,Lost
2008,M Muralitharan,Chennai Super Kings,10,Mumbai Indians,2008-05-14,12,2.0,20,0,10.0,,,3,3,0,3,1,0,1,Lost
