Year,Player,Team,Matches,Balls,Overs,Runs Given,Wickets,Economy Rate,Average,Strike Rate,Dots,4s,6s,Boundaries Conceded,Wides,No Balls,Extras Given
2008,A Kumble,Royal Challengers Bengaluru,10,230,38.2,304,7,7.93,43.43,32.86,85,27,14,41,10,0,10
2008,A Mishra,Delhi Capitals,6,119,19.5,138,11,6.96,12.55,10.82,42,4,8,12,3,1,4
2008,A Nehra,Mumbai Indians,14,269,44.5,348,12,7.76,29.0,22.42,120,47,8,55,11,5,16
2008,A Nel,Mumbai Indians,1,18,3.0,31,1,10.33,31.0,18.0,7,3,2,5,0,0,0
2008,A Symonds,Deccan Chargers,3,41,6.5,101,0,14.78,,,9,6,9,15,6,1,7
2008,AA Noffke,Royal Challengers Bengaluru,1,24,4.0,40,1,10.0,40.0,24.0,6,2,2,4,5,0,5
2008,AB Agarkar,Kolkata Knight Riders,9,156,26.0,207,8,7.96,25.88,19.5,66,21,8,29,11,1,12
2008,AB Dinda,Kolkata Knight Riders,12,234,39.0,260,9,6.67,28.89,26.0,116,38,1,39,14,1,15
2008,AD Mascarenhas,Rajasthan Royals,1,24,4.0,29,2,7.25,14.5,12.0,8,3,0,3,2,0,2
2008,AM Nayar,Mumbai Indians,5,42,7.0,68,1,9.71,68.0,42.0,14,3,6,9,1,0,1
2008,Abdur Razzak,Royal Challengers Bengaluru,1,12,2.0,29,0,14.5,,,5,3,1,4,5,5,10
2008,B Akhil,Royal Challengers Bengaluru,6,104,17.2,134,2,7.73,67.0,52.0,34,10,6,16,2,0,2
2008,B Geeves,Delhi Capitals,2,48,8.0,91,1,11.38,91.0,48.0,15,17,1,18,1,0,1
2008,B Lee,Punjab Kings,4,96,16.0,112,4,7.0,28.0,24.0,44,16,2,18,0,8,8
2008,BAW Mendis,Kolkata Knight Riders,1,24,4.0,24,1,6.0,24.0,24.0,9,3,0,3,0,0,0
2008,CK Kapugedera,Chennai Super Kings,3,17,2.5,49,0,17.29,,,0,5,3,8,0,0,0
2008,CL White,Royal Challengers Bengaluru,1,6,1.0,24,0,24.0,,,0,2,2,4,2,0,2
2008,CRD Fernando,Mumbai Indians,5,120,20.0,160,10,8.0,16.0,12.0,49,15,6,21,7,2,9
2008,D Kalyankrishna,Deccan Chargers,3,48,8.0,87,2,10.88,43.5,24.0,10,8,4,12,2,0,2
2008,D Salunkhe,Rajasthan Royals,5,47,7.5,78,1,9.96,78.0,47.0,13,6,3,9,7,2,9
2008,DB Ravi Teja,Deccan Chargers,1,12,2.0,19,1,9.5,19.0,12.0,3,0,2,2,0,0,0
2008,DJ Bravo,Mumbai Indians,9,171,28.3,232,11,8.14,21.09,15.55,66,20,10,30,10,0,10
2008,DJ Hussey,Kolkata Knight Riders,5,78,13.0,130,2,10.0,65.0,39.0,24,8,9,17,1,0,1
2008,DJ Thornely,Mumbai Indians,4,42,7.0,40,3,5.71,13.33,14.0,19,5,0,5,2,0,2
2008,DL Vettori,Delhi Capitals,2,48,8.0,54,2,6.75,27.0,24.0,16,4,2,6,0,0,0
2008,DNT Zoysa,Deccan Chargers,3,66,11.0,99,2,9.0,49.5,33.0,24,12,3,15,1,5,6
2008,DP Vijaykumar,Deccan Chargers,9,152,25.2,199,4,7.86,49.75,38.0,63,23,5,28,5,4,9
2008,DR Smith,Mumbai Indians,4,66,11.0,83,5,7.55,16.6,13.2,25,8,1,9,7,0,7
2008,DS Kulkarni,Mumbai Indians,10,177,29.3,236,11,8.0,21.45,16.09,77,27,6,33,16,10,26
