match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner
1082591,2017,2017-04-05,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad
1082592,2017,2017-04-06,Rising Pune Supergiant,Mumbai Indians,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,Rising Pune Supergiant
1082593,2017,2017-04-07,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Rajkot,Kolkata Knight Riders,field,Kolkata Knight Riders
1082594,2017,2017-04-08,Kings XI Punjab,Rising Pune Supergiant,Holkar Cricket Stadium,Indore,Kings XI Punjab,field,Kings XI Punjab
1082595,2017,2017-04-08,Royal Challengers Bangalore,Delhi Daredevils,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
1082596,2017,2017-04-09,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
1082597,2017,2017-04-09,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians
1082598,2017,2017-04-10,Kings XI Punjab,Royal Challengers Bangalore,Holkar Cricket Stadium,Indore,Royal Challengers Bangalore,bat,Kings XI Punjab
1082599,2017,2017-04-11,Rising Pune Supergiant,Delhi Daredevils,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,Delhi Daredevils
1082600,2017,2017-04-12,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians
1082601,2017,2017-04-13,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders
1082602,2017,2017-04-14,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field,Mumbai Indians
1082603,2017,2017-04-14,Gujarat Lions,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,Gujarat Lions
1082604,2017,2017-04-15,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata,Sunrisers Hyderabad,field,Kolkata Knight Riders
1082605,2017,2017-04-15,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,Delhi Daredevils
1082606,2017,2017-04-16,Mumbai Indians,Gujarat Lions,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians
1082607,2017,2017-04-16,Royal Challengers Bangalore,Rising Pune Supergiant,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant
1082608,2017,2017-04-17,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,Kolkata Knight Riders
1082609,2017,2017-04-17,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kings XI Punjab,field,Sunrisers Hyderabad
1082610,2017,2017-04-18,Gujarat Lions,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,Royal Challengers Bangalore
1082611,2017,2017-04-19,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
1082612,2017,2017-04-20,Kings XI Punjab,Mumbai Indians,Holkar Cricket Stadium,Indore,Mumbai Indians,field,Mumbai Indians
1082613,2017,2017-04-21,Kolkata Knight Riders,Gujarat Lions,Eden Gardens,Kolkata,Gujarat Lions,field,Gujarat Lions
1082614,2017,2017-04-22,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Mumbai,Delhi Daredevils,field,Mumbai Indians
